City,Hotel Name,Address,NandA,Overall Rating,Review Rating,Date,Title,Review,Negative,Neutral,Positive,Compound
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,10.0," April 12, 2021",Birthday staycation,Hotel try their best to arrange birthday cake for my girl friend. Their service is very good,0.0,0.569,0.431,0.8908
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,9.6," April 11, 2021",Comfortable bed & unique room design,"The bed was comfortable, room size is ok. Toilet is fine however it would be nice if there is bidet. There were so many mirrors. The noise in the rooms or even the shower can be heard outside the walkway. The pool is inviting and pleasant. The staff are polite. Had a good experience in this hotel overall. Very good location.",0.0,0.707,0.293,0.9612
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,6.4," April 09, 2021",Recommended ,"Staff are nice. Place is clean. Location is great. Few things to improve, my complimentary water bottle was dusty with some blackish stained on the cover, it looks like it was taken straight from the store room and never bother to clean before putting into the room. Toiletries like shower gel was not refilled, it was halfway empty! Lastly the cordless jug for boiling water is leaking.",0.021,0.66,0.319,0.9727
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,8.8," April 06, 2021",Super convenient located ,"Our first time stay here. Few steps to bus stop and Mrt Station. Nearby around 5-10 mins walk to Chinatown, maxwell food centre or tanjong pagar food centre. Good view at 50 floor Pinnacles and high rise offices. Room is decent spacious and toilet is nice. The plugs near toilet at the side table are lousy. Couldn't work and the plug will be loosen and the power will be disconnected. Other than that, everything generally is good. The extra pillow is extra longer than usual size. Very comfortable pillow and bed. We will definitely return if it has offer again",0.05,0.819,0.131,0.8479
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,3.6," April 05, 2021",Acceptable,overall is good except the seasonal parking is not available( parking full ) .,0.0,0.791,0.209,0.4404
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,8.0," April 05, 2021",Nice and comfortable,"2nd time step in during this year, very appreciated for hotel I'm request check in early after my night shift working. Everything ok, only a single part the hotel mugs are very dirty,my both mugs all got previous guest left over oak stairs.",0.0,0.873,0.127,0.6997
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,7.6," April 05, 2021",Second time back,Still love this place a lot. My second staycay at this spot. Very convenient location and great view,0.0,0.644,0.356,0.8519
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,10.0," April 04, 2021",Affordable hotel near Chinatown and Tanjong Pagar,I booked this hotel for my fiancé who was working OT nearby. The location is fantastic and the pool was ok. Room was adequate and value for money for the price I paid. Able to use the internet for some voice calls and am happy with the check in and out service. No frills and good location for the price.,0.031,0.73,0.239,0.926
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,10.0," March 29, 2021",.,.,0.0,0.0,0.0,0.0
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,10.0," March 29, 2021",.,.,0.0,0.0,0.0,0.0
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,6.0," March 28, 2021",...,..,0.0,0.0,0.0,0.0
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,2.0," March 16, 2021",Acceptable,staycation not under my need,0.0,1.0,0.0,0.0
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,7.6," March 16, 2021",Good location,Location was good Value for money Except parking which have to be purchased along side with Dorset residences. Vending machine can have a bit more variety such as contact lens solutions. Other than that it was a pleasant stay.,0.0,0.762,0.238,0.8519
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,7.2," March 16, 2021",Dorset Sg,Good location but the pillows smelt of old sweat and the duvet was not very comfortable and full of lumpy cotton. The glass door to the shower area was difficult to open if the toilet door was closed.,0.162,0.794,0.044,-0.7334
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,8.0," March 16, 2021",Very good,"There are noisy sound in the room,coming from the control box located on the ceiling wall",0.102,0.898,0.0,-0.1779
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,8.8," March 15, 2021",Excellent Staff & Customer Service ,Jeffrey & Jason at front office was exceptional in making our stay a comfortable & pleasant one. Called the hotel earlier to check if they have bidet in the toilet & Jeffrey who checked us in went extr,0.0,0.829,0.171,0.765
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,8.4," March 15, 2021",Not bad,Enjoyed our 2 night stay. Friendly and helpful staff. Just wished they have free parking for guests. Had to pay $12 each day. Overall okay.,0.041,0.531,0.428,0.9201
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,9.6," March 14, 2021","Great location, clean and decent facilities.",Quirky decor but clean and facilities are decent. Staff were very helpful. My only negative is that parking isn't free!,0.266,0.495,0.238,-0.2296
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,9.2," March 10, 2021",Pest buster,I am upset that while we are sleeping housekeeping staff wanted to do pest buster in our room. I was shocked why they wanted to dowhile guests are still in the room!,0.149,0.851,0.0,-0.5994
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,7.2," March 09, 2021",Staycation,Accommodation was overall good within the limitations of Covid,0.0,0.734,0.266,0.4404
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,8.4," March 08, 2021",Excellent,Bed was too soft,0.0,1.0,0.0,0.0
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,10.0," March 06, 2021",Staycation,"Very happy with the service provided during my stay. The staffs were very attentive and very polite. I have an allergy and sensitive nose. There was a strong smell on the first room given but the moment they knew about this, they immediately change for me to another room which is way much better and I am happy with it. Excellent customer service to the lady at the main door and the front desk lady that did the follow up. Location is good. Thank you for the excellent hospitality... Beautiful hotel!!",0.0,0.684,0.316,0.9903
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,6.4," March 03, 2021",Not bad,The parking area is a little too compact for bigger cars,0.0,1.0,0.0,0.0
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,9.2," March 01, 2021",Staycation in Singapore ,"Friendly staffs, great location with good facilities. Definitely will be back again!",0.0,0.383,0.617,0.9169
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,10.0," February 23, 2021",Strategic ,"It's very close by Chinatown, just the right place to spend during CNY festivities because decos were all along the road, there's a number of good food places right the next lane to the hotel. If you're adventurous enough and enjoy walking, you can walk all the from the hotel to Chinatown, then Clarke Quay while enjoying the view overseeing MBS floating ship hotel from the Quay, then shop a little around Bugis, turning every corner along and all the way down to Orchard starting with The Cathay. Totally worth the staycay while being local tourist. 👍🏻",0.0,0.826,0.174,0.9476
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,10.0," February 23, 2021",Staycation Hotel Dorsett,"Good location, clean and good service",0.0,0.261,0.739,0.8176
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,8.4," February 23, 2021",Lots of good dining options in the vicinity,"Convenient, next to MRT station, no lack of dining options. Rooms are a little worn and not well cleaned, but understandable as manpower could be reduced during this period. Nonetheless, bright and functional - okay for the price as well.",0.183,0.681,0.136,0.2188
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,9.2," February 21, 2021",Exceptional,Easy access to hotel via train. Check in process was smooth. Access to gym or pool will require prior reservations at the front desk and guests will have to go down to collect a separate access card before heading down to the gym or pool. Many food and drinking options within walking distance.,0.0,0.946,0.054,0.4404
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765","Dorsett Singapore (SG Clean Certified) ;333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,7.6," February 20, 2021",Not bad,"Chose this hotel to celebrate my anniversary because it is cheap. I think this hotel only recently opened to public after serving finish those people who did their ""stay home notice"" in the hotel. Rooms and facilities seems unused and unclean for quite a while.",0.0,0.919,0.081,0.5719
