City,Hotel Name,Address,Overall Rating,Average Review Rating,Negative,Neutral,Positive,Compound
Singapore,The Fullerton Bay Hotel,"80 Collyer quay, Marina Bay, Singapore, Singapore, 049326",9.2,9.415254237,0.028338983,0.654559322,0.317144068,0.640263559
Singapore,Village Hotel Bugis by Far East Hospitality (SG Clean Certified),"390 Victoria Street, Bugis, Singapore, Singapore, 188061",7.7,8.603333333,0.037991667,0.676658333,0.268658333,0.545059167
Singapore,M Social Singapore,"90 Robertson Quay, Clarke Quay, Singapore, Singapore, 238259",8.1,7.441,0.05376,0.69985,0.22641,0.41529
Singapore,Shangri-La's Rasa Sentosa Resort & Spa,"101 Siloso Road, Sentosa, Singapore, Singapore, 098970",8.5,8.673333333,0.024416667,0.69295,0.282641667,0.604994167
Singapore,The Fullerton Hotel,"1 Fullerton Square, Marina Bay, Singapore, Singapore, 049178",8.9,9.176666667,0.01955,0.665941667,0.314508333,0.633098333
Singapore,Capella Singapore Hotel,"1 The Knolls Sentosa Island, Sentosa, Singapore, Singapore, 098297",8.9,8.813333333,0.025766667,0.678208333,0.296033333,0.690216667
Singapore,Sofitel Singapore Sentosa Resort And Spa (SG Clean Certified),"2 Bukit Manis Road, Sentosa, Singapore, Singapore, 099891",8,7.353333333,0.063216667,0.736866667,0.199875,0.327851667
Singapore,Oasia Hotel Downtown Singapore by Far East Hospitality (SG Clean Certified),"100 Peck Seah Street, CBD, Singapore, Singapore, 079333",8.8,8.465,0.05005,0.681508333,0.268458333,0.58947
Singapore,W Singapore - Sentosa Cove (SG Clean Certified),"21 Ocean Way, Sentosa, Singapore, Singapore, 098374",8.6,8.87,0.027291667,0.684591667,0.279816667,0.63397
Singapore,"PARKROYAL COLLECTION Pickering, Singapore (SG Clean Certified)","3 Upper Pickering Street, CBD, Singapore, Singapore, 058289",8.9,,0.035583333,0.706141667,0.24995,0.566728333
Singapore,Resorts World Sentosa - Beach Villas (SG Clean Certified),"8 Sentosa Gateway, Resorts World, Sentosa, Singapore, Singapore, 098269",8.4,,0.03635,0.746825,0.216825,0.600744167
Singapore,"The Ritz-Carlton, Millenia Singapore","7 Raffles Avenue, Marina Bay, Singapore, Singapore, 039799",9,,0.025941667,0.650208333,0.323841667,0.703371667
Singapore,Crowne Plaza Changi Airport,"75 Airport Boulevard (Terminal 3), Changi, Singapore, Singapore, 819664",8.7,8.813333333,0.045175,0.674691667,0.280125,0.645555833
Singapore,The Westin Singapore (SG Clean Certified),"12 Marina View, Asia Square Tower 2, CBD, Singapore, Singapore, 18961",8.8,8.693333333,0.033433333,0.654308333,0.312308333,0.611549167
Singapore,"InterContinental Singapore (SG Clean Certified, Staycation Approved)","80 Middle Road , Bugis, Singapore, Singapore, 188966",8.8,8.973333333,0.036625,0.710825,0.25255,0.594070833
Singapore,Oakwood Premier AMTD Singapore (SG Clean Certified),"6 Shenton Way, OUE Downtown 1, CBD, Singapore, Singapore, 068809",8.9,8.926666667,0.023316667,0.685316667,0.283025,0.695501667
Singapore,Naumi Hotel Singapore (SG Clean Certified and Staycation Approved),"41 Seah Street, City Hall, Singapore, Singapore, 188396",8.6,8.443333333,0.0449,0.676825,0.2783,0.516834167
Singapore,Carlton Hotel Singapore - SG Clean Certified,"76 Bras Basah Road, City Hall, Singapore, Singapore, 189558",8.5,9.053333333,0.027841667,0.656491667,0.315633333,0.572236667
Singapore,Dorsett Singapore (SG Clean Certified),"333 New Bridge Road, Chinatown, Singapore, Singapore, 088765",8.3,8.43,0.035125,0.68495,0.229908333,0.469216667
Singapore,Hotel Fort Canning,"11 Canning Walk, Orchard, Singapore, Singapore, 178881",8.6,8.723333333,0.02605,0.674366667,0.29125,0.686205833
Bangkok,Millennium Hilton Bangkok,"123 Charoennakorn Road, Klongsan, Bangkok Riverside, Bangkok, Thailand, 10600",8.4,8.383333333,0.041991667,0.665091667,0.284583333,0.465239167
Bangkok,Mandarin Oriental Bangkok,"48 Oriental Avenue, Bangkok Riverside, Bangkok, Thailand, 10500",9.2,9.23490566,0.021735849,0.645358491,0.332896226,0.647264151
Bangkok,Ibis Bangkok Siam Hotel,"Rama 1 Wangmai, Siam, Bangkok, Thailand, 10330",8.2,8.443333333,0.022233333,0.743608333,0.234141667,0.507089167
Bangkok,Sofitel Bangkok Sukhumvit Hotel,"189 Sukhumvit Road Soi 13-15 , Klongtoey Wattana, Sukhumvit, Bangkok, Thailand, 10110",8.9,9.263333333,0.03745,0.640716667,0.321841667,0.6084175
Bangkok,Evergreen Place Siam by UHG,"318 Phaya Thai Road, Ratchathewi, Siam, Bangkok, Thailand, 10400",8.4,8.963333333,0.02005,0.572225,0.391075,0.507030833
Bangkok,Swissotel Bangkok Ratchada,"204 Ratchadapisek Road Huaykwang, Ratchada, Bangkok, Thailand, 10320",8.4,8.793333333,0.027908333,0.643391667,0.312033333,0.550208333
Bangkok,Centara Grand at Central Plaza Ladprao Bangkok,"1695 Phaholyothin Road, Chatuchak, Bangkok, Thailand, 10900",8.5,8.693333333,0.0213,0.6189,0.359825,0.534349167
Bangkok,Hotel Nikko Bangkok,"27 Soi Sukhumvit 55 (Thonglor), Sukhumvit Road, Klongton Nua, Wattana, Bangkok Thailand 10110, Sukhumvit, Bangkok, Thailand, 10110",8.9,8.686666667,0.028608333,0.6728,0.2986,0.541548333
Bangkok,Grand Swiss Sukhumvit 11,"155/23 Sukhumvit Soi 11 Near Nana BTS sky train, Sukhumvit, Bangkok, Thailand, 10110",8,8.07,0.044858333,0.678708333,0.2764,0.464710833
Bangkok,The Peninsula Bangkok,"Siam Chaophraya Holdings, 333 Charoennakorn Road, Bangkok Riverside, Bangkok, Thailand, 10600",9.1,9.02,0.03415,0.661875,0.303983333,0.577965833
Bangkok,Amari Watergate Hotel - SHA Certified,"847 Petchaburi Road, Pratunam, Rachatavi, Pratunam, Bangkok, Thailand, 10400",8.6,8.833333333,0.02845,0.657333333,0.305941667,0.544961667
Bangkok,The Bless Hotel & Residence,"10 Sukhumvit Soi 33, North Klongton, Wattana, Sukhumvit, Bangkok, Thailand, 10110",8.2,8.893333333,0.027641667,0.631566667,0.340808333,0.62743
Bangkok,Ramada Plaza Bangkok Menam Riverside,"2074 Charoenkrung Road Soi 72/4, Wat Praya Krai, Bangkholaem, Bangkok Riverside, Bangkok, Thailand, 10120",8.2,8.75,0.035833333,0.664091667,0.300091667,0.674093333
Bangkok,sala rattanakosin Bangkok,"39 Maharat Road, Grand Palace, Phranakorn, Bangkok Riverside, Bangkok, Thailand, 10200",8.1,8.152136752,0.040905983,0.649905983,0.300632479,0.576480342
Bangkok,The Royal River Hotel,"219 Soi Charansanitwong 66/1, Charansanitwong Road, Bangplad, Bangkok Riverside, Bangkok, Thailand, 10700",7.6,7.372881356,0.074271186,0.694805085,0.214,0.363319492
